,INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
0,2021-01-01T08:00:00-00:00,2021-01-01T09:00:00-00:00,2021-01-01,1,0,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,DAM,LMP,LMP_PRC,KERMAN_6_N001,ALL,1,35.54649,1
1,2021-01-01T08:00:00-00:00,2021-01-01T09:00:00-00:00,2021-01-01,1,0,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,DAM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,0.0,2
2,2021-01-01T08:00:00-00:00,2021-01-01T09:00:00-00:00,2021-01-01,1,0,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,DAM,MCE,LMP_ENE_PRC,KERMAN_6_N001,ALL,1,34.68627,3
3,2021-01-01T08:00:00-00:00,2021-01-01T09:00:00-00:00,2021-01-01,1,0,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,DAM,MCL,LMP_LOSS_PRC,KERMAN_6_N001,ALL,1,0.86022,4
4,2021-01-01T09:00:00-00:00,2021-01-01T10:00:00-00:00,2021-01-01,2,0,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,DAM,LMP,LMP_PRC,KERMAN_6_N001,ALL,1,33.48817,1
5,2021-01-01T09:00:00-00:00,2021-01-01T10:00:00-00:00,2021-01-01,2,0,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,DAM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,0.0,2
6,2021-01-01T09:00:00-00:00,2021-01-01T10:00:00-00:00,2021-01-01,2,0,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,DAM,MCE,LMP_ENE_PRC,KERMAN_6_N001,ALL,1,32.70009,3
7,2021-01-01T09:00:00-00:00,2021-01-01T10:00:00-00:00,2021-01-01,2,0,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,DAM,MCL,LMP_LOSS_PRC,KERMAN_6_N001,ALL,1,0.78807,4
8,2021-01-01T10:00:00-00:00,2021-01-01T11:00:00-00:00,2021-01-01,3,0,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,DAM,LMP,LMP_PRC,KERMAN_6_N001,ALL,1,34.7107,1
9,2021-01-01T10:00:00-00:00,2021-01-01T11:00:00-00:00,2021-01-01,3,0,KERMAN_6_N001,KERMAN_6_N001,KERMAN_6_N001,DAM,MCC,LMP_CONG_PRC,KERMAN_6_N001,ALL,1,0.0,2
